Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,TimePath,TimePath1,[Travelers],FlowTime,TimeOnLink,Average (Hours),0.00250000000000017,0.0025000000000001,0.00250000000000023,9.5951970956536E-18,3.35882620453373E-17
Scenario1,TimePath,TimePath1,[Travelers],FlowTime,TimeOnLink,Maximum (Hours),0.00250000000000039,0.00250000000000039,0.00250000000000039,0,0
Scenario1,TimePath,TimePath1,[Travelers],FlowTime,TimeOnLink,Minimum (Hours),0.00249999999999995,0.00249999999999995,0.00249999999999995,0,0
Scenario1,TimePath,TimePath1,[Travelers],Throughput,NumberEntered,Total,48.42,34,66,1.82151442621187,6.37626338021553
Scenario1,TimePath,TimePath1,[Travelers],Throughput,NumberExited,Total,48.42,34,66,1.82151442621187,6.37626338021553
Scenario1,TimePath,TimePath2,[Travelers],Content,NumberOnLink,Average,0.0145334213270633,0.0106250000000005,0.0184375000000013,0.000492223112953674,0.00172304109418958
Scenario1,TimePath,TimePath2,[Travelers],Content,NumberOnLink,Maximum,1,1,1,0,0
Scenario1,TimePath,TimePath2,[Travelers],Content,NumberOnLink,Minimum,0,0,0,0,0
Scenario1,TimePath,TimePath2,[Travelers],FlowTime,TimeOnLink,Average (Hours),0.00250000000000017,0.00250000000000012,0.00250000000000022,8.07691838434528E-18,2.82734839636675E-17
Scenario1,TimePath,TimePath2,[Travelers],FlowTime,TimeOnLink,Maximum (Hours),0.00250000000000039,0.00250000000000039,0.00250000000000039,0,0
Scenario1,TimePath,TimePath2,[Travelers],FlowTime,TimeOnLink,Minimum (Hours),0.00249999999999995,0.00249999999999995,0.00249999999999995,0,0
Scenario1,TimePath,TimePath2,[Travelers],Throughput,NumberEntered,Total,46.52,34,59,1.57660386649175,5.51894695663983
Scenario1,TimePath,TimePath2,[Travelers],Throughput,NumberExited,Total,46.5,34,59,1.57450029649837,5.51158334967441
Scenario1,TimePath,TimePath3,[Travelers],Content,NumberOnLink,Average,0.014381250000001,0.0106250000000005,0.0184375000000013,0.00049441876983158,0.00173072705392981
Scenario1,TimePath,TimePath3,[Travelers],Content,NumberOnLink,Maximum,1,1,1,0,0
Scenario1,TimePath,TimePath3,[Travelers],Content,NumberOnLink,Minimum,0,0,0,0,0
Scenario1,TimePath,TimePath3,[Travelers],FlowTime,TimeOnLink,Average (Hours),0.00250000000000018,0.00250000000000011,0.00250000000000024,8.44671432098588E-18,2.95679652233398E-17
Scenario1,TimePath,TimePath3,[Travelers],FlowTime,TimeOnLink,Maximum (Hours),0.00250000000000039,0.00250000000000039,0.00250000000000039,0,0
Scenario1,TimePath,TimePath3,[Travelers],FlowTime,TimeOnLink,Minimum (Hours),0.00249999999999995,0.00249999999999995,0.00249999999999995,0,0
Scenario1,TimePath,TimePath3,[Travelers],Throughput,NumberEntered,Total,46.02,34,59,1.58214006346093,5.53832657257495
Scenario1,TimePath,TimePath3,[Travelers],Throughput,NumberExited,Total,46.02,34,59,1.58214006346093,5.53832657257495
Scenario1,TimePath,TimePath4,[Travelers],Content,NumberOnLink,Average,0.013850000000001,0.0106250000000006,0.0175000000000013,0.000473223599638835,0.00165653275406994
Scenario1,TimePath,TimePath4,[Travelers],Content,NumberOnLink,Maximum,1.02,1,2,0.0404,0.141421356237309
Scenario1,TimePath,TimePath4,[Travelers],Content,NumberOnLink,Minimum,0,0,0,0,0
Scenario1,TimePath,TimePath4,[Travelers],FlowTime,TimeOnLink,Average (Hours),0.00250000000000018,0.00250000000000012,0.00250000000000024,7.97570277945719E-18,2.7919175841993E-17
Scenario1,TimePath,TimePath4,[Travelers],FlowTime,TimeOnLink,Maximum (Hours),0.00250000000000039,0.00250000000000039,0.00250000000000039,0,0
Scenario1,TimePath,TimePath4,[Travelers],FlowTime,TimeOnLink,Minimum (Hours),0.00249999999999995,0.00249999999999995,0.00249999999999995,0,0
Scenario1,TimePath,TimePath4,[Travelers],Throughput,NumberEntered,Total,44.32,34,56,1.51431551884416,5.3009048130234
Scenario1,TimePath,TimePath4,[Travelers],Throughput,NumberExited,Total,44.32,34,56,1.51431551884416,5.3009048130234
